Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00   28.49     340/340         Encode [1]
[3]     99.7    0.00   28.49     340         Encode_frame [3]
                0.00   28.49     340/340         x264_encoder_encode [4]
                0.00    0.00     305/305         x264_nal_encode [257]
                0.00    0.00     305/305         write_nalu_bsf [256]
                0.00    0.00     300/300         set_eop_bsf [264]
                0.00    0.00       2/47801       x264_free [192]
                0.00    0.00       2/4865        x264_malloc [220]
-----------------------------------------------
                0.00   28.49     340/340         Encode_frame [3]
[4]     99.7    0.00   28.49     340         x264_encoder_encode [4]
                0.00   21.01     300/300         x264_slices_write [6]
                0.00    7.00      78/78          x264_slicetype_decide [14]
                0.00    0.18     300/300         x264_ratecontrol_start [60]
                0.00    0.15     300/300         x264_frame_init_lowres [69]
                0.00    0.15     300/300         x264_adaptive_quant_frame [68]
                0.00    0.00     677/1051        x264_frame_push [234]
                0.00    0.00     671/671         x264_frame_shift [240]
                0.00    0.00     377/378         x264_frame_pop_unused [249]
                0.00    0.00     300/300         x264_frame_copy_picture [271]
                0.00    0.00     300/119100      x264_ratecontrol_qp [180]
                0.00    0.00     300/300         x264_slice_header_init [277]
                0.00    0.00     300/300         x264_macroblock_slice_init [273]
                0.00    0.00     300/300         x264_encoder_frame_end [270]
                0.00    0.00     222/222         x264_macroblock_bipred_init [280]
                0.00    0.00      74/374         x264_frame_push_unused [250]
                0.00    0.00       5/305         x264_nal_start [259]
                0.00    0.00       5/305         x264_nal_end [258]
                0.00    0.00       3/336         x264_frame_pop [252]
                0.00    0.00       2/2           x264_sps_write [300]
                0.00    0.00       2/2           x264_pps_write [298]
                0.00    0.00       1/1           x264_sei_version_write [336]
-----------------------------------------------
